structure,label,input_size,repeats,mean_time_s,std_dev_s,min_time_s,max_time_s
BST,BST insert,100,5,5.3040031343698504e-05,8.610065905729366e-06,4.8200017772614956e-05,6.84000551700592e-05
AVL,AVL insert,100,5,0.0004333999939262867,2.7108057236299303e-05,0.0004097999772056937,0.0004795000422745943
HashTable,HashTable insert,100,5,0.00015031998045742512,1.73602088571671e-05,0.00014000001829117537,0.0001810999820008874
MinHeap,MinHeap insert,100,5,7.064000237733126e-05,6.777780666692196e-06,6.7099928855896e-05,8.270004764199257e-05
BST,BST insert,1000,5,0.0010998999932780862,0.0006285080032786166,0.0007919000927358866,0.002223299932666123
AVL,AVL insert,1000,5,0.009754240023903548,0.0011449390166937453,0.00841400003992021,0.011360400007106364
HashTable,HashTable insert,1000,5,0.0020190199837088587,0.00016955913231867225,0.0018182999920099974,0.0022721999557688832
MinHeap,MinHeap insert,1000,5,0.0010140599915757775,5.129712650091081e-05,0.0009820000268518925,0.001104900031350553
BST,BST insert,10000,5,0.01942338002845645,0.011448291488279912,0.01324110000859946,0.03986600006464869
AVL,AVL insert,10000,5,0.11909222002141177,0.008505266778448456,0.11144570005126297,0.13080159993842244
HashTable,HashTable insert,10000,5,0.041580620035529134,0.019151057170008052,0.018668800010345876,0.057576300110667944
MinHeap,MinHeap insert,10000,5,0.01231152000837028,0.002588439804827763,0.010070799966342747,0.016211500042118132
